runback,season,link,driver,items,kart,result,time,points,Luigi Circuit,Peach Beach,Baby Park,Dry Dry Desert,Mushroom Bridge,Mario Circuit,Daisy Cruiser,Waluigi Stadium,Sherbet Land,Mushroom City,Yoshi Circuit,DK Mountain,Wario Colosseum,Dino Dino Jungle,Bowser's Castle,Rainbow Road
1,1,https://youtu.be/ddiKQl74cxs,Ben,Chris,Toad Kart,win,34:03.612,148,1:37.779,1:33.564,1:26.733,2:08.563,1:43.777,1:55.151,2:01.736,2:06.154,1:39.482,1:57.857,2:16.006,2:25.655,2:27.926,2:09.086,2:56.072,3:38.071
1,1,https://youtu.be/ddiKQl74cxs,Derek,Ryan,Barrel Train,loss,34:36.131,140,1:40.309,1:38.301,1:33.693,2:11.777,1:39.181,1:57.622,2:00.490,2:02.990,1:42.580,1:54.506,2:13.252,2:25.339,2:42.868,2:14.586,2:57.990,3:40.647
2,1,https://youtu.be/nbybq_jp09Q,Ryan,Chris,Barrel Train,loss,34:46.000,136,1:33.601,1:24.053,1:30.964,1:59.307,1:35.414,1:56.754,2:09.571,2:08.071,1:33.896,1:57.219,2:21.730,2:32.750,2:43.587,2:21.580,3:21.700,3:35.803
2,1,https://youtu.be/nbybq_jp09Q,Derek,Ben,Toad Kart,win,33:14.523,152,1:31.691,1:25.230,1:26.483,2:00.865,1:38.375,1:53.964,2:06.446,2:07.420,1:31.497,1:59.334,2:04.504,2:25.037,2:27.551,2:11.910,2:59.757,3:24.459
3,1,https://youtu.be/XMFkJ4QhDdI,Ryan,Chris,Toad Kart,loss,34:00.501,142,1:35.547,1:26.902,1:23.951,2:09.122,1:39.565,1:51.055,2:01.637,2:12.250,1:41.169,1:58.962,2:07.502,2:27.816,2:33.550,2:15.497,3:05.785,3:30.191
3,1,https://youtu.be/XMFkJ4QhDdI,Derek,Ben,Toad Kart,win,33:35.219,146,1:32.630,1:22.942,1:24.815,2:01.147,1:40.839,1:53.636,2:03.962,2:13.421,1:37.991,1:58.910,2:09.066,2:22.648,2:35.763,2:12.614,3:02.127,3:22.708
4,1,https://youtu.be/_zZsh00hkZU,Ryan,Derek,Barrel Train,loss,33:41.465,144,1:32.603,1:31.529,1:28.024,2:11.704,1:31.971,1:49.578,2:08.106,2:03.291,1:37.702,1:58.620,2:09.045,2:28.950,2:25.752,2:10.334,3:02.846,3:31.410
4,1,https://youtu.be/_zZsh00hkZU,Ben,Chris,Toad Kart,win,33:29.374,144,1:35.692,1:31.957,1:22.056,2:06.266,1:35.936,1:49.573,2:04.327,2:17.781,1:38.971,1:57.253,2:10.012,2:22.574,2:31.269,2:11.051,2:52.247,3:22.409
5,1,https://youtu.be/7ui2eGoNenk,Ryan,Ben,Barrel Train,loss,34:31.455,138,1:39.890,1:33.900,1:20.671,1:58.152,1:43.586,1:52.344,1:58.860,2:19.408,1:37.544,2:03.064,2:10.600,2:31.254,2:35.749,2:19.582,3:02.084,3:44.767
5,1,https://youtu.be/7ui2eGoNenk,Derek,Chris,Toad Kart,win,34:02.959,146,1:36.787,1:37.830,1:20.817,2:02.432,1:44.493,1:56.800,2:11.849,2:17.555,1:37.367,2:06.845,2:08.983,2:18.233,2:34.228,2:09.595,2:57.451,3:21.694
6,2,https://youtu.be/SdZCLZRjg2s,Ryan,Derek,Barrel Train,win,33:32.496,142,1:33.548,1:26.151,1:30.389,1:55.802,1:34.739,1:53.434,1:54.506,2:13.310,1:34.376,2:03.187,2:12.903,2:18.550,2:32.633,2:25.357,2:54.917,3:28.694
6,2,https://youtu.be/SdZCLZRjg2s,Ben,Chris,Toad Kart,loss,33:57.192,140,1:34.356,1:29.166,1:20.600,2:04.988,1:44.327,1:49.594,2:03.171,2:14.380,1:32.887,2:05.146,2:15.662,2:27.362,2:30.357,2:24.103,2:55.750,3:25.343
7,2,https://youtu.be/kNGcG7qztBc,Derek,Ryan,Koopa Dasher,loss,33:57.284,136,1:35.467,1:27.676,1:19.002,2:08.342,1:41.143,1:51.720,2:05.318,2:14.999,1:32.558,2:01.463,2:08.243,2:20.852,2:46.697,2:13.333,3:01.481,3:28.990
7,2,https://youtu.be/kNGcG7qztBc,Ben,Chris,Toad Kart,win,33:28.113,150,1:37.213,1:31.741,1:18.944,2:06.769,1:40.119,1:52.374,2:04.982,2:16.472,1:30.316,1:55.570,2:08.185,2:15.990,2:32.232,2:13.877,2:59.749,3:23.580
8,2,,Ryan,Chris,Barrel Train,loss,34:05.459,132,1:43.389,1:27.606,1:25.095,1:58.702,1:42.549,1:54.165,2:07.179,2:13.252,1:35.035,1:49.849,2:22.210,2:24.652,2:32.333,2:18.550,2:57.829,3:33.064
